season,section,division,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,median_beneficial_fraction,median_crop_water_deficit,median_relative_water_deficit,median_total_seasonal_biomass_production,median_seasonal_yield,median_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield,std_crop_water_productivity
2022-2023,Umm_Juha,Turabi,0.77,0.25,0.75,2.21,1.35,0.34,0.82,0.27,0.73,2.18,1.34,0.33,0.0,0.01,0.4,0.0,0.0,0.0,0.91,0.6,0.99,6.94,4.25,0.63,0.14,0.1,0.1,0.97,0.59,0.06
2022-2023,Turabi_Al_Riyasa,Turabi,0.75,0.27,0.73,2.29,1.4,0.33,0.8,0.28,0.72,2.26,1.38,0.33,0.0,0.03,0.43,0.0,0.0,0.0,0.89,0.57,0.97,6.42,3.93,0.67,0.13,0.09,0.09,0.94,0.58,0.06
2022-2023,Wad_Bala,Turabi,0.74,0.28,0.72,2.45,1.5,0.34,0.79,0.29,0.71,2.41,1.47,0.34,0.0,0.03,0.41,0.02,0.01,0.02,0.89,0.59,0.97,6.79,4.16,0.58,0.12,0.1,0.1,1.01,0.62,0.05
2022-2023,Fargin,Kab_Elgidad,0.79,0.25,0.75,2.22,1.36,0.34,0.83,0.27,0.73,2.24,1.37,0.34,0.0,0.01,0.44,0.02,0.01,0.05,0.9,0.56,0.99,6.14,3.76,0.71,0.11,0.1,0.1,0.92,0.56,0.06
2022-2023,Abd_ElMagid_Al_Riyasa,Abd_ElMagid,0.78,0.25,0.75,2.17,1.33,0.34,0.81,0.26,0.74,2.2,1.34,0.34,0.2,0.04,0.58,0.25,0.16,0.2,0.87,0.42,0.96,4.43,2.71,0.55,0.08,0.08,0.08,0.74,0.45,0.04
2022-2023,Fawar,Tabat,0.77,0.28,0.72,2.51,1.54,0.36,0.79,0.29,0.71,2.55,1.56,0.36,0.0,0.04,0.4,0.12,0.08,0.11,0.88,0.6,0.96,6.63,4.06,0.6,0.07,0.08,0.08,0.76,0.47,0.04
2022-2023,Abd_Elmagid,Surhan,0.8,0.28,0.72,2.46,1.5,0.36,0.82,0.28,0.72,2.41,1.47,0.35,0.39,0.05,0.47,0.37,0.23,0.26,0.88,0.53,0.95,5.92,3.62,0.6,0.07,0.09,0.09,0.92,0.56,0.05
2022-2023,Surhan_Al_Riyasa,Surhan,0.75,0.31,0.69,2.9,1.77,0.38,0.77,0.31,0.69,2.89,1.77,0.38,0.0,0.03,0.38,0.14,0.08,0.13,0.89,0.62,0.97,7.13,4.36,0.56,0.09,0.08,0.08,0.91,0.56,0.04
2022-2023,Istarhna,Al_Gourashi,0.74,0.3,0.7,2.56,1.56,0.35,0.77,0.3,0.7,2.52,1.54,0.35,0.0,0.04,0.39,0.04,0.02,0.04,0.88,0.61,0.96,6.46,3.95,0.55,0.1,0.09,0.09,0.9,0.55,0.04
2022-2023,Al_Gourashi_Al_Riyasa,Al_Gourashi,0.74,0.3,0.7,2.58,1.58,0.34,0.78,0.31,0.69,2.52,1.54,0.34,0.05,0.05,0.43,0.17,0.1,0.11,0.88,0.57,0.95,6.17,3.77,0.52,0.11,0.09,0.09,0.94,0.58,0.05
2022-2023,El_Rukun,Tabat,0.75,0.32,0.68,2.84,1.74,0.36,0.78,0.33,0.67,2.87,1.75,0.36,0.19,0.06,0.39,0.39,0.24,0.18,0.88,0.61,0.94,6.6,4.04,0.5,0.08,0.09,0.09,0.96,0.59,0.04
2022-2023,Wad_El_Saiyid,Elmessellamia,0.74,0.31,0.69,2.74,1.68,0.36,0.77,0.32,0.68,2.76,1.69,0.36,0.04,0.04,0.43,0.07,0.04,0.06,0.89,0.57,0.96,6.03,3.69,0.51,0.08,0.08,0.08,0.86,0.52,0.04
2022-2023,Al_Firijab,Surhan,0.74,0.29,0.71,2.56,1.56,0.36,0.77,0.31,0.69,2.55,1.56,0.35,0.2,0.07,0.45,0.3,0.19,0.13,0.87,0.55,0.93,6.02,3.69,0.54,0.09,0.09,0.09,0.86,0.53,0.05
2022-2023,Tannub,Tabat,0.76,0.31,0.69,2.74,1.68,0.37,0.77,0.31,0.69,2.72,1.66,0.36,0.3,0.07,0.37,0.44,0.27,0.22,0.88,0.63,0.93,6.36,3.89,0.53,0.07,0.07,0.07,0.76,0.47,0.04
2022-2023,Tabat_Al_Riyasa,Tabat,0.75,0.35,0.65,3.16,1.93,0.37,0.78,0.36,0.64,3.21,1.96,0.37,0.04,0.05,0.34,0.2,0.12,0.13,0.88,0.66,0.95,7.55,4.62,0.53,0.09,0.09,0.09,0.99,0.61,0.04
2022-2023,Saad_Allah,Elmessellamia,0.76,0.32,0.68,2.81,1.72,0.37,0.78,0.32,0.68,2.75,1.68,0.36,0.0,0.05,0.32,0.18,0.11,0.15,0.88,0.68,0.95,6.89,4.22,0.52,0.08,0.09,0.09,0.9,0.55,0.05
2022-2023,Wad_ElBurr,Wad_ElBurr,0.75,0.33,0.67,2.97,1.82,0.38,0.78,0.33,0.67,2.92,1.79,0.38,0.07,0.06,0.3,0.26,0.16,0.18,0.88,0.7,0.94,7.26,4.44,0.54,0.1,0.09,0.09,0.96,0.59,0.04
2022-2023,Wad_Hilal,Wad_ElBurr,0.75,0.3,0.7,2.64,1.61,0.36,0.77,0.31,0.69,2.63,1.61,0.36,0.14,0.06,0.45,0.3,0.18,0.21,0.87,0.55,0.94,5.55,3.4,0.53,0.08,0.08,0.08,0.85,0.52,0.04
2022-2023,Elmessellamia_Al_Riyasa,Elmessellamia,0.76,0.35,0.65,3.13,1.91,0.37,0.77,0.35,0.65,3.1,1.9,0.38,0.2,0.12,0.44,0.52,0.32,0.19,0.86,0.56,0.88,5.67,3.47,0.47,0.08,0.09,0.09,0.97,0.59,0.04
2022-2023,Beika,Elmessellamia,0.76,0.33,0.67,2.84,1.74,0.36,0.78,0.33,0.67,2.82,1.73,0.36,0.0,0.06,0.41,0.12,0.07,0.09,0.88,0.59,0.94,6.06,3.71,0.51,0.09,0.08,0.08,0.87,0.53,0.04
2022-2023,Bortobeil,Elbasatna,0.77,0.34,0.66,2.92,1.79,0.37,0.79,0.34,0.66,2.88,1.76,0.37,0.02,0.05,0.35,0.18,0.11,0.12,0.89,0.65,0.95,6.51,3.98,0.51,0.09,0.08,0.08,0.87,0.53,0.04
2022-2023,Barakat_Al_Riyasa,Elbasatna,0.76,0.33,0.67,2.81,1.72,0.36,0.77,0.32,0.68,2.7,1.65,0.37,0.0,0.06,0.31,0.14,0.09,0.09,0.87,0.69,0.94,7.38,4.52,0.48,0.08,0.09,0.09,1.01,0.62,0.04
2022-2023,Wad_Figda,Hag Abdalla and North West Sennar,0.72,0.3,0.7,2.61,1.6,0.38,0.74,0.29,0.71,2.54,1.56,0.38,0.04,0.07,0.42,0.2,0.12,0.12,0.88,0.58,0.93,5.61,3.43,0.52,0.09,0.1,0.1,1.02,0.62,0.05
2022-2023,Al_Toman,Wad Elnaw,0.75,0.33,0.67,2.8,1.71,0.36,0.77,0.33,0.67,2.67,1.63,0.36,0.26,0.07,0.32,0.42,0.26,0.22,0.88,0.68,0.93,6.88,4.21,0.47,0.08,0.1,0.1,1.01,0.62,0.04
2022-2023,Hag_Abdalla,Hag Abdalla and North West Sennar,0.77,0.33,0.67,2.78,1.7,0.37,0.8,0.33,0.67,2.67,1.63,0.36,0.17,0.06,0.45,0.35,0.22,0.24,0.88,0.55,0.94,5.8,3.55,0.52,0.07,0.09,0.09,1.0,0.61,0.05
2022-2023,Wad_Elnaw_Al_Riyasa,Wad Elnaw,0.78,0.36,0.64,3.07,1.88,0.37,0.81,0.36,0.64,3.03,1.85,0.37,0.0,0.04,0.29,0.12,0.07,0.12,0.88,0.71,0.96,7.09,4.34,0.51,0.08,0.09,0.09,0.98,0.6,0.04
2022-2023,Hadad,Hag Abdalla and North West Sennar,0.75,0.33,0.67,3.25,1.99,0.43,0.76,0.31,0.69,3.02,1.85,0.43,0.55,0.15,0.36,1.34,0.82,0.34,0.87,0.64,0.85,6.84,4.18,0.52,0.06,0.09,0.09,1.05,0.64,0.04
2022-2023,Gundal,Hag Abdalla and North West Sennar,0.76,0.35,0.65,3.36,2.05,0.42,0.77,0.35,0.65,3.26,2.0,0.42,0.24,0.12,0.37,0.65,0.4,0.25,0.87,0.63,0.88,6.6,4.04,0.53,0.07,0.09,0.09,1.02,0.63,0.04
2022-2023,Fahal,El_Mukhtar,0.71,0.29,0.71,2.47,1.51,0.36,0.74,0.29,0.71,2.38,1.46,0.36,0.02,0.05,0.45,0.18,0.11,0.06,0.88,0.55,0.95,5.56,3.4,0.51,0.1,0.08,0.08,0.83,0.51,0.05
2022-2023,Hamadna_Allah,El_Mukhtar,0.75,0.3,0.7,2.63,1.61,0.37,0.78,0.3,0.7,2.58,1.58,0.38,0.0,0.05,0.31,0.0,0.0,0.0,0.89,0.69,0.95,6.6,4.04,0.54,0.1,0.08,0.08,0.88,0.54,0.04
2022-2023,Um_Degina,El_Mukhtar,0.73,0.28,0.72,2.63,1.61,0.39,0.76,0.28,0.72,2.59,1.59,0.39,0.0,0.05,0.46,0.1,0.06,0.02,0.89,0.54,0.95,5.76,3.53,0.5,0.1,0.09,0.09,0.93,0.57,0.04
2022-2023,Shaliee_Al_Riyasa,Shaliee,0.77,0.31,0.69,2.8,1.71,0.37,0.79,0.32,0.68,2.76,1.69,0.37,0.03,0.04,0.43,0.13,0.08,0.13,0.89,0.57,0.96,5.85,3.58,0.58,0.08,0.08,0.08,0.84,0.51,0.05
2022-2023,Wad_Elzain,Shaliee,0.78,0.29,0.71,2.46,1.51,0.35,0.8,0.29,0.71,2.4,1.47,0.34,0.0,0.03,0.32,0.01,0.01,0.02,0.9,0.68,0.97,7.17,4.39,0.6,0.09,0.08,0.08,0.81,0.5,0.05
2022-2023,Shandi,Shaliee,0.75,0.28,0.72,2.45,1.5,0.36,0.77,0.28,0.72,2.45,1.5,0.35,0.01,0.05,0.49,0.18,0.11,0.12,0.87,0.51,0.95,5.35,3.27,0.6,0.09,0.08,0.08,0.79,0.48,0.06
2022-2023,Elhurga_Nuraldin,Elhurga/Nuraldin,0.71,0.14,0.86,0.89,0.54,0.27,0.73,0.13,0.87,0.84,0.51,0.27,0.31,0.04,0.64,0.22,0.14,0.15,0.85,0.36,0.96,3.04,1.86,0.42,0.08,0.05,0.05,0.34,0.21,0.03
2022-2023,El_Sharqi_Al_Riyasa,Al Genied,0.73,0.23,0.77,1.84,1.13,0.31,0.77,0.24,0.76,1.83,1.12,0.31,0.0,0.02,0.45,0.05,0.03,0.1,0.9,0.55,0.98,5.97,3.65,0.49,0.12,0.09,0.09,0.85,0.52,0.04
2022-2023,El_Ariga,EL_Mansi,0.76,0.33,0.67,3.02,1.85,0.38,0.78,0.33,0.67,3.02,1.85,0.38,0.15,0.05,0.44,0.28,0.17,0.22,0.88,0.56,0.95,6.31,3.86,0.56,0.09,0.09,0.09,0.91,0.56,0.04
2022-2023,Shakir,EL_Mansi,0.75,0.3,0.7,2.86,1.75,0.39,0.76,0.3,0.7,2.83,1.73,0.39,0.0,0.03,0.41,0.18,0.11,0.11,0.88,0.59,0.97,6.58,4.03,0.66,0.08,0.09,0.09,0.93,0.57,0.04
2022-2023,EL_Nala,El_Tahameed,0.77,0.27,0.73,2.8,1.72,0.4,0.79,0.27,0.73,2.74,1.68,0.41,0.0,0.02,0.41,0.0,0.0,0.0,0.88,0.59,0.98,7.31,4.48,0.63,0.08,0.09,0.09,1.09,0.67,0.05
2022-2023,EL_Mansi_Al_Riyasa,EL_Mansi,0.76,0.31,0.69,2.82,1.73,0.37,0.78,0.31,0.69,2.77,1.7,0.37,0.0,0.04,0.38,0.01,0.01,0.01,0.89,0.62,0.96,7.13,4.36,0.57,0.1,0.09,0.09,0.95,0.58,0.04
2022-2023,El_Tahameed_Al_Riyasa,El_Tahameed,0.77,0.3,0.7,3.09,1.89,0.41,0.79,0.31,0.69,3.11,1.9,0.41,0.14,0.04,0.46,0.28,0.17,0.25,0.88,0.54,0.96,6.65,4.07,0.58,0.07,0.08,0.08,0.88,0.54,0.04
2022-2023,Tku,El_Tahameed,0.77,0.29,0.71,3.05,1.87,0.42,0.79,0.29,0.71,3.01,1.84,0.42,0.15,0.05,0.47,0.18,0.11,0.15,0.89,0.53,0.95,6.09,3.73,0.57,0.07,0.09,0.09,1.06,0.65,0.04
2022-2023,Al_Tarfa,Elfakhakhir,0.76,0.28,0.72,2.83,1.73,0.41,0.78,0.28,0.72,2.73,1.67,0.41,0.25,0.05,0.39,0.35,0.22,0.16,0.89,0.61,0.95,6.97,4.27,0.6,0.07,0.09,0.09,0.97,0.59,0.04
2022-2023,Al_Taayif,Elfakhakhir,0.76,0.33,0.67,3.16,1.93,0.39,0.78,0.33,0.67,3.13,1.91,0.39,0.0,0.05,0.39,0.01,0.0,0.0,0.88,0.61,0.95,6.75,4.13,0.54,0.08,0.09,0.09,0.92,0.56,0.04
2022-2023,Al_Krimit,Elfakhakhir,0.77,0.34,0.66,3.17,1.94,0.39,0.79,0.34,0.66,3.19,1.95,0.39,0.0,0.06,0.41,0.01,0.01,0.01,0.88,0.59,0.94,6.31,3.86,0.62,0.1,0.1,0.1,0.98,0.6,0.05
2022-2023,Hegeliga,Elhafair,0.76,0.32,0.68,3.21,1.97,0.41,0.78,0.32,0.68,3.22,1.97,0.41,0.09,0.04,0.44,0.24,0.14,0.23,0.87,0.56,0.96,6.2,3.79,0.56,0.08,0.09,0.09,0.9,0.55,0.03
2022-2023,Elfakhakhir_Al_Riyasa,Elfakhakhir,0.76,0.32,0.68,3.31,2.03,0.42,0.78,0.32,0.68,3.31,2.03,0.42,0.0,0.05,0.34,0.04,0.03,0.04,0.88,0.66,0.95,7.09,4.34,0.56,0.08,0.09,0.09,0.94,0.57,0.03
2022-2023,Matouri_Al_Riyasa,Matouri,0.76,0.29,0.71,2.72,1.67,0.39,0.78,0.29,0.71,2.67,1.64,0.39,0.0,0.04,0.42,0.0,0.0,0.0,0.9,0.58,0.96,7.09,4.34,0.57,0.08,0.1,0.1,1.01,0.62,0.05
2022-2023,El_Zafir,Elhafair,0.75,0.26,0.74,2.53,1.55,0.4,0.77,0.27,0.73,2.51,1.54,0.39,0.0,0.04,0.11,0.06,0.04,0.05,0.88,0.89,0.96,12.07,7.38,0.62,0.09,0.08,0.08,0.84,0.52,0.04
2022-2023,Elhafair_Al_Riyasa,Elhafair,0.76,0.24,0.76,2.53,1.55,0.43,0.77,0.23,0.77,2.48,1.52,0.43,0.14,0.05,0.45,0.33,0.2,0.22,0.88,0.55,0.95,6.79,4.15,0.61,0.07,0.07,0.07,0.82,0.5,0.05
2022-2023,Um_Suneita,Matouri,0.75,0.21,0.79,1.92,1.17,0.38,0.78,0.21,0.79,1.84,1.13,0.37,0.06,0.03,0.48,0.18,0.11,0.22,0.88,0.52,0.97,6.42,3.93,0.56,0.1,0.09,0.09,0.82,0.5,0.04
2022-2023,Disheinat,Matouri,0.76,0.28,0.72,2.69,1.65,0.4,0.78,0.28,0.72,2.65,1.62,0.4,0.15,0.03,0.42,0.23,0.14,0.15,0.9,0.58,0.97,6.71,4.1,0.56,0.09,0.09,0.09,0.91,0.55,0.04
2022-2023,Um_Gargor,Elshawal,0.79,0.32,0.68,3.19,1.95,0.42,0.8,0.31,0.69,3.16,1.94,0.43,0.59,0.12,0.39,1.0,0.61,0.32,0.89,0.61,0.88,6.31,3.86,0.52,0.05,0.08,0.08,0.94,0.57,0.04
2022-2023,Al_Gamosi,Gabouga,0.74,0.24,0.76,2.17,1.33,0.39,0.77,0.24,0.76,2.17,1.33,0.38,0.0,0.03,0.55,0.07,0.05,0.09,0.87,0.45,0.97,5.14,3.14,0.58,0.11,0.07,0.07,0.77,0.47,0.05
2022-2023,Gabouga,Gabouga,0.74,0.23,0.77,2.02,1.23,0.37,0.77,0.23,0.77,1.94,1.19,0.37,0.0,0.03,0.54,0.0,0.0,0.0,0.88,0.46,0.97,5.02,3.07,0.57,0.12,0.08,0.08,0.82,0.5,0.06
2022-2023,Elshawal_Al_Riyasa,Elshawal,0.76,0.23,0.77,2.08,1.27,0.37,0.77,0.23,0.77,1.97,1.2,0.37,0.0,0.03,0.48,0.13,0.08,0.2,0.89,0.52,0.97,5.6,3.43,0.56,0.07,0.1,0.1,1.06,0.65,0.05
2022-2023,El_waha,Elshawal,0.77,0.25,0.75,2.31,1.41,0.39,0.79,0.25,0.75,2.22,1.36,0.39,0.32,0.05,0.43,0.34,0.21,0.28,0.9,0.57,0.95,6.08,3.72,0.68,0.06,0.09,0.09,0.91,0.56,0.04
2022-2023,Ranjouk,Gabouga,0.74,0.25,0.75,2.18,1.33,0.37,0.77,0.25,0.75,2.17,1.33,0.37,0.0,0.02,0.49,0.05,0.03,0.06,0.9,0.51,0.98,5.44,3.33,0.55,0.1,0.08,0.08,0.86,0.53,0.05
2023-2024,57,Wad Elnaw,0.77,0.28,0.72,1.69,1.03,0.25,0.8,0.29,0.71,1.64,1.0,0.24,0.06,0.04,0.42,0.12,0.08,0.06,0.89,0.58,0.96,4.14,2.53,0.45,0.08,0.08,0.08,0.58,0.36,0.05
2023-2024,88,Elbasatna,0.78,0.28,0.72,1.86,1.14,0.28,0.8,0.29,0.71,1.78,1.09,0.27,0.02,0.04,0.45,0.06,0.04,0.06,0.88,0.55,0.96,4.45,2.72,0.43,0.1,0.08,0.08,0.65,0.4,0.05
2023-2024,Abdah_Fadul,Tabat,0.73,0.23,0.77,1.5,0.92,0.25,0.77,0.24,0.76,1.45,0.89,0.24,0.0,0.03,0.51,0.02,0.01,0.02,0.9,0.49,0.97,4.76,2.92,0.53,0.12,0.09,0.09,0.7,0.43,0.05
2023-2024,Abu_Gin,Kab_Elgidad,0.74,0.24,0.76,1.55,0.95,0.25,0.78,0.25,0.75,1.51,0.93,0.24,0.0,0.02,0.45,0.01,0.0,0.01,0.88,0.55,0.98,4.6,2.81,0.68,0.11,0.08,0.08,0.58,0.35,0.06
2023-2024,Abu_Hawa,Elhafair,0.76,0.22,0.78,1.57,0.96,0.29,0.78,0.22,0.78,1.52,0.93,0.27,0.2,0.04,0.48,0.22,0.14,0.18,0.88,0.52,0.96,3.97,2.43,0.57,0.07,0.06,0.06,0.52,0.32,0.06
2023-2024,Abu_Quta,Abd_ElMagid,0.75,0.2,0.8,1.3,0.8,0.26,0.8,0.21,0.79,1.32,0.81,0.24,0.0,0.01,0.47,0.01,0.0,0.01,0.9,0.53,0.99,5.08,3.11,0.61,0.13,0.08,0.08,0.58,0.35,0.06
2023-2024,Abu_Usher,Al_Gourashi,0.74,0.25,0.75,1.62,0.99,0.26,0.78,0.25,0.75,1.54,0.94,0.24,0.0,0.03,0.39,0.08,0.05,0.07,0.88,0.61,0.97,4.85,2.97,0.58,0.12,0.08,0.08,0.68,0.42,0.06
2023-2024,Affan,Matouri,0.75,0.26,0.74,1.68,1.03,0.26,0.77,0.26,0.74,1.59,0.97,0.25,0.0,0.03,0.42,0.08,0.05,0.1,0.89,0.58,0.97,4.53,2.77,0.53,0.09,0.08,0.08,0.63,0.39,0.06
2023-2024,Al_Awamrah,Abd_ElMagid,0.72,0.16,0.84,1.06,0.65,0.25,0.77,0.16,0.84,0.95,0.58,0.23,0.0,0.02,0.64,0.0,0.0,0.0,0.9,0.36,0.98,3.97,2.43,0.61,0.15,0.07,0.07,0.58,0.36,0.06
2023-2024,Al_Saadana,Turabi,0.74,0.25,0.75,1.61,0.99,0.25,0.78,0.26,0.74,1.57,0.96,0.24,0.0,0.03,0.48,0.01,0.01,0.01,0.87,0.52,0.97,4.49,2.75,0.6,0.12,0.08,0.08,0.64,0.39,0.06
2023-2024,Umm_Juha,Turabi,0.74,0.24,0.76,1.6,0.98,0.26,0.79,0.25,0.75,1.55,0.95,0.24,0.0,0.02,0.23,0.07,0.04,0.1,0.88,0.77,0.98,6.38,3.91,0.57,0.13,0.09,0.09,0.71,0.43,0.06
2023-2024,Turabi_Al_Riyasa,Turabi,0.73,0.25,0.75,1.61,0.98,0.25,0.78,0.25,0.75,1.57,0.96,0.24,0.0,0.02,0.46,0.0,0.0,0.0,0.87,0.54,0.98,4.3,2.63,0.62,0.13,0.08,0.08,0.64,0.39,0.05
2023-2024,Wad_Bala,Turabi,0.74,0.25,0.75,1.74,1.06,0.27,0.78,0.26,0.74,1.71,1.05,0.26,0.0,0.02,0.42,0.0,0.0,0.0,0.88,0.58,0.98,4.9,3.0,0.51,0.13,0.09,0.09,0.73,0.45,0.05
2023-2024,Fargin,Kab_Elgidad,0.75,0.21,0.79,1.44,0.88,0.26,0.79,0.22,0.78,1.43,0.88,0.25,0.0,0.02,0.54,0.0,0.0,0.0,0.89,0.46,0.98,4.72,2.89,0.65,0.12,0.08,0.08,0.64,0.39,0.06
2023-2024,Abd_ElMagid_Al_Riyasa,Abd_ElMagid,0.72,0.19,0.81,1.2,0.73,0.24,0.75,0.19,0.81,1.2,0.74,0.23,0.0,0.03,0.5,0.09,0.06,0.12,0.85,0.5,0.97,3.3,2.02,0.61,0.1,0.07,0.07,0.45,0.28,0.05
2023-2024,Fawar,Tabat,0.73,0.23,0.77,1.46,0.89,0.24,0.76,0.24,0.76,1.43,0.88,0.23,0.0,0.03,0.51,0.03,0.02,0.03,0.86,0.49,0.97,4.69,2.87,0.54,0.1,0.08,0.08,0.57,0.35,0.05
2023-2024,Abd_Elmagid,Surhan,0.75,0.21,0.79,1.45,0.89,0.27,0.78,0.21,0.79,1.39,0.85,0.25,0.19,0.02,0.58,0.14,0.08,0.17,0.87,0.42,0.98,4.8,2.94,0.59,0.09,0.08,0.08,0.6,0.36,0.06
2023-2024,Surhan_Al_Riyasa,Surhan,0.75,0.26,0.74,1.66,1.02,0.25,0.78,0.27,0.73,1.65,1.01,0.24,0.0,0.04,0.51,0.0,0.0,0.0,0.9,0.49,0.96,4.29,2.63,0.57,0.1,0.08,0.08,0.57,0.35,0.05
2023-2024,Istarhna,Al_Gourashi,0.74,0.26,0.74,1.6,0.98,0.24,0.77,0.26,0.74,1.56,0.95,0.24,0.0,0.04,0.55,0.04,0.02,0.03,0.89,0.45,0.96,3.86,2.36,0.46,0.1,0.07,0.07,0.59,0.36,0.05
2023-2024,Al_Gourashi_Al_Riyasa,Al_Gourashi,0.75,0.27,0.73,1.66,1.02,0.24,0.79,0.28,0.72,1.63,1.0,0.23,0.0,0.04,0.35,0.0,0.0,0.0,0.88,0.65,0.96,4.61,2.82,0.49,0.11,0.08,0.08,0.61,0.37,0.05
2023-2024,El_Rukun,Tabat,0.75,0.26,0.74,1.64,1.0,0.25,0.77,0.26,0.74,1.6,0.98,0.23,0.08,0.04,0.46,0.18,0.11,0.12,0.89,0.54,0.96,4.41,2.7,0.45,0.09,0.08,0.08,0.66,0.4,0.05
2023-2024,Wad_El_Saiyid,Elmessellamia,0.76,0.27,0.73,1.72,1.05,0.26,0.79,0.27,0.73,1.7,1.04,0.25,0.0,0.04,0.54,0.0,0.0,0.0,0.89,0.46,0.96,4.1,2.51,0.44,0.1,0.08,0.08,0.63,0.39,0.05
2023-2024,Al_Firijab,Surhan,0.77,0.28,0.72,1.79,1.1,0.26,0.8,0.29,0.71,1.77,1.08,0.25,0.23,0.07,0.51,0.24,0.15,0.11,0.88,0.49,0.93,4.05,2.48,0.47,0.09,0.07,0.07,0.62,0.38,0.05
2023-2024,Tannub,Tabat,0.76,0.26,0.74,1.68,1.03,0.26,0.78,0.26,0.74,1.57,0.96,0.24,0.0,0.04,0.44,0.1,0.06,0.1,0.89,0.56,0.96,4.91,3.0,0.58,0.08,0.07,0.07,0.69,0.42,0.06
2023-2024,Tabat_Al_Riyasa,Tabat,0.77,0.3,0.7,2.03,1.24,0.27,0.8,0.31,0.69,1.94,1.19,0.26,0.22,0.07,0.46,0.33,0.2,0.13,0.88,0.54,0.93,4.81,2.94,0.47,0.08,0.08,0.08,0.7,0.43,0.05
